YearMonth,Last Updated,Business Segment,Company,Responsible Person,Risk
2008,30.05.2020,Mid size,Zoonder,Freedman Sinkins,Low
1989,14.11.2020,Corporate,Voonix,Leigh Ahmad,High
2000,19.10.2020,Mid size,Photolist,Gail Macieiczyk,Low
1990,15.04.2020,Startup,Skyvu,Nicky Wanklyn,Low
1999,25.09.2020,Corporate,Camimbo,Madlin Janoschek,High
1986,27.08.2020,Corporate,Livepath,Lorrie Rivel,High
2002,21.05.2020,Mid size,Fivespan,Fanny Fine,Low
2012,23.05.2020,Mid size,Thoughtsphere,Laetitia Rolin,High
2011,10.08.2020,Startup,Photospace,Valentijn Adamthwaite,High
1998,16.05.2020,Corporate,Fivespan,Wes Mulvy,High
2012,16.07.2020,Mid size,Skivee,Alwyn Noble,High
2009,26.11.2020,Startup,Jetwire,Moria Kilford,Low
1994,09.06.2020,Corporate,Einti,Stormy Counter,Medium
2009,09.11.2020,Mid size,Eidel,Sherill Kirsche,High
2001,24.05.2020,Startup,Dablist,Wallis Keuneke,High
2002,01.11.2020,Mid size,Tazzy,Demeter MacBain,High
2012,12.09.2020,Corporate,Mymm,Anet Espley,High
2009,17.07.2020,Corporate,Podcat,Courtnay Bere,High
1998,14.06.2020,Startup,Brainbox,Jeremias Annets,High
2009,20.05.2020,Corporate,Eazzy,Tudor Darree,Low
2006,30.09.2020,Mid size,Agivu,Geno Upshall,High
2001,18.09.2020,Startup,Jayo,Staci Sigg,Medium
1988,08.09.2020,Mid size,Photobean,Laney Towell,High
2004,29.11.2020,Corporate,Skiba,Bethany Maydwell,High
2005,18.10.2020,Corporate,Shufflester,Ned Rablan,Low
2008,18.03.2020,Startup,Kayveo,Salli Crewther,Medium
1990,08.10.2020,Corporate,Oodoo,Jane Carmel,Medium
2002,23.07.2020,Startup,Livepath,Grier Barfield,Low
1985,28.09.2020,Corporate,Bubbletube,Sergent Johnigan,Medium
1990,14.11.2020,Mid size,Babbleopia,Rosco Symes,Low
2008,21.10.2020,Mid size,Ooba,Jaye Featonby,High
2012,08.11.2020,Mid size,Rhynoodle,Algernon Petrasch,Low
1996,20.03.2020,Mid size,Meemm,Rozelle Craufurd,Low
2009,21.10.2020,Startup,Jabbertype,Milton Huntington,Medium
1993,06.07.2020,Startup,Ntags,Jard Probetts,High
2011,14.07.2020,Mid size,Tagopia,Nickolaus Collibear,Medium
1997,10.07.2020,Corporate,Yamia,Sherwynd Attwood,High
2012,25.05.2020,Startup,Yamia,Minna Gommowe,Medium
1999,21.07.2020,Startup,Wordpedia,Angelo Lofting,Low
2004,09.06.2020,Mid size,Thoughtbeat,Chelsea Hirche,High
1996,23.09.2020,Mid size,Lazz,Saw Smewing,Medium
1986,24.07.2020,Startup,Aimbu,Hamel Truin,Low
1993,14.06.2020,Mid size,Lajo,Arluene Bing,Medium
2004,22.03.2020,Mid size,Tekfly,Pail Limbourne,Medium
1995,26.09.2020,Mid size,Wikivu,Heindrick Rego,Medium
2006,21.07.2020,Startup,Twimbo,Kippar Normanvell,Low
1985,25.11.2020,Mid size,Divanoodle,Nichole Brithman,Low
1998,21.07.2020,Mid size,Bubbletube,Mark Harmson,High
2010,15.06.2020,Startup,Roodel,Sula Eastman,Medium
1992,04.07.2020,Mid size,Gabspot,Hubert Jeschner,Low
2010,04.03.2020,Corporate,Vinte,Sande Bangiard,High
2007,20.04.2020,Mid size,Tanoodle,Merrill Twiggs,High
2013,09.11.2020,Corporate,Nlounge,Goran Beesey,High
2002,27.09.2020,Corporate,Eadel,Elvera Annell,High
2005,05.08.2020,Startup,Flashspan,Pearle Righy,Low
2004,28.04.2020,Corporate,Lazzy,Gregoor Beaulieu,High
2009,30.09.2020,Startup,Thoughtworks,Yulma Morfey,Medium
2012,16.06.2020,Corporate,Oyoloo,Grayce Luxen,Low
2003,30.06.2020,Mid size,Edgeify,Arny Rockliffe,Medium
2004,08.04.2020,Startup,Devpoint,Fletcher McAloren,High
2010,24.05.2020,Mid size,Linkbridge,Ellissa Rawnsley,High
1976,17.04.2020,Startup,Feednation,Shayla Troth,High
1995,16.07.2020,Corporate,Yombu,Hernando MacCallester,Low
2011,30.09.2020,Mid size,Feedfish,Berkly Habershon,Low
2002,01.08.2020,Corporate,Omba,Jonathon Riddett,Low
2003,16.08.2020,Startup,Topicblab,Clotilda Longstreeth,High
2008,19.05.2020,Corporate,Bluezoom,Shanna Saipy,Medium
1975,25.11.2020,Corporate,Dynava,Chen Rounsefell,High
2002,23.03.2020,Corporate,Thoughtstorm,Erinn Doumerc,High
2010,20.09.2020,Corporate,Rhycero,Hill Cuthill,High
1989,16.07.2020,Mid size,Midel,Lorianna Brettor,High
2010,06.11.2020,Startup,Edgeify,Kristoffer Dunridge,Low
2005,04.03.2020,Mid size,Meejo,Leah Burroughes,Medium
1992,10.09.2020,Mid size,Cogibox,Augusto Blissitt,Medium
2004,14.04.2020,Startup,Oyoyo,Patricia Rewcastle,Low
2008,04.10.2020,Corporate,Leexo,Wilone Illesley,Low
2009,09.05.2020,Startup,Yakijo,Ethelin Bortolussi,High
1996,30.07.2020,Mid size,Thoughtsphere,Willis Merrett,Low
1993,09.08.2020,Corporate,Voomm,Alexandr Baptie,High
2008,31.10.2020,Corporate,Thoughtbeat,Shirlene Wolfendale,High
1993,23.09.2020,Mid size,Zoonder,Dexter Lurriman,Low
2012,21.04.2020,Mid size,Livefish,Kassandra Whaplington,Medium
2007,10.07.2020,Mid size,Rooxo,Kari Newiss,Low
2004,26.06.2020,Startup,Jabbersphere,Jobyna Amorine,Medium
2009,20.03.2020,Mid size,Feedspan,Chaunce Corless,Medium
1995,08.06.2020,Mid size,Dabvine,Bern Ismead,Medium
2001,22.10.2020,Corporate,Pixoboo,Jodi Pitcaithley,Low
2003,17.07.2020,Startup,Avamba,Silvia Heffer,High
1995,23.09.2020,Mid size,Oyoba,Clerissa Farnell,High
2004,06.07.2020,Startup,Kwideo,L;urette Gaunson,Low
2005,11.10.2020,Startup,Feedbug,Dorolisa Mogg,Low
2012,09.03.2020,Startup,Mynte,Debby Ellerey,Low
2003,12.07.2020,Mid size,Yodoo,Petey Macklin,Low
2005,30.05.2020,Startup,Skinte,Tabby Youngman,Medium
2000,28.06.2020,Mid size,Blogtag,Tuckie Ashforth,Medium
2000,26.08.2020,Startup,Rhynoodle,Dulcie Jayume,Low
1986,15.11.2020,Startup,Aibox,Clevey Albone,Medium
2013,21.03.2020,Corporate,Flipbug,Jolene Bernaert,Low
2006,30.06.2020,Corporate,Kayveo,Calla Britten,Medium
1995,03.09.2020,Startup,Fivespan,Evy Gunson,Low
1997,23.09.2020,Startup,Bubbletube,Malinda Chilvers,Medium
2003,19.08.2020,Startup,Devbug,Janeen Browett,High
2000,16.10.2020,Corporate,Rhynyx,Norine Janaszkiewicz,High
2012,20.10.2020,Mid size,Divavu,Gena Voak,Low
2006,24.11.2020,Startup,Zoozzy,Enid Koppe,Medium
2007,06.11.2020,Startup,Dynazzy,Aldrich Stranio,Low
2012,08.09.2020,Startup,Edgeclub,Yovonnda Osinin,High
1998,29.06.2020,Corporate,Buzzdog,Pasquale Eddleston,Low
1990,18.10.2020,Corporate,Feedspan,Enid Arnaudet,High
2006,01.08.2020,Mid size,Oodoo,Ailey Street,Low
2010,06.06.2020,Startup,Yakitri,Evy Mathiassen,Medium
1999,25.07.2020,Startup,Skinder,Natala Christofol,Low
1999,28.06.2020,Startup,Ntag,Crichton Guerrazzi,Medium
2010,22.05.2020,Mid size,Dynabox,Maridel Tolotti,High
2004,04.05.2020,Startup,Voonyx,Lindi Fearenside,High
2008,05.04.2020,Corporate,Jabbersphere,Karol Causon,Low
2004,18.11.2020,Startup,Miboo,Sashenka Dabels,Low
2009,27.11.2020,Startup,Tagfeed,Jacki Pereira,Low
2000,02.10.2020,Startup,Zava,Julio Corke,Low
2007,04.06.2020,Mid size,Yombu,Bernard Glassard,Medium
2006,26.06.2020,Corporate,Minyx,Rob Handrok,Medium
1988,31.10.2020,Corporate,Jabbersphere,Leigh Olivas,Low
2004,07.06.2020,Startup,Shufflebeat,Hallsy Spriggin,High
2008,27.08.2020,Mid size,Gabtype,Valle Pevreal,Low
1998,04.03.2020,Corporate,Twimm,Findlay Lowes,Low
2007,17.06.2020,Corporate,Browsedrive,Freddy Such,High
2012,16.09.2020,Mid size,Feedspan,Nanete Gammett,Medium
1994,04.03.2020,Mid size,Browseblab,Rheta Reiner,Low
2007,14.10.2020,Startup,Aibox,Guthrie Scrauniage,High
1989,22.09.2020,Mid size,Vitz,Sloan Jeeks,Low
2010,22.05.2020,Startup,Photobug,Nesta Jahn,High
2012,21.03.2020,Mid size,Youfeed,Helga Batter,High
2013,12.03.2020,Corporate,Kazu,Meir Probat,Low
2004,02.05.2020,Corporate,Rhynoodle,Mary Moyser,Low
2012,17.04.2020,Startup,Fliptune,Veda Dows,High
2009,11.08.2020,Corporate,Photolist,Ricki Josling,High
2010,23.05.2020,Mid size,Jaxnation,Sayre Rushford,Medium
2001,16.06.2020,Startup,Jaxnation,Karie Beaves,Low
2004,31.07.2020,Mid size,Blogpad,Poppy Maslin,Medium
2003,21.06.2020,Mid size,Ainyx,Tersina Donoher,Medium
2000,15.03.2020,Mid size,Twitterbridge,Lezley Gowdy,High
2008,13.11.2020,Startup,Cogilith,Abramo Narey,Medium
2012,15.11.2020,Startup,Vinte,Corabelle Martijn,Low
2009,09.05.2020,Startup,Quamba,Ethelyn Wharfe,Medium
1987,17.11.2020,Startup,Meevee,Lester Gutridge,Medium
2003,20.09.2020,Corporate,Thoughtworks,Gerty Martinovsky,Medium
2012,23.07.2020,Corporate,Teklist,Benji Hylden,Medium
1996,23.05.2020,Startup,Kazio,Valida Rosevear,Low
